CCN	CODCNH	Nombre Centro	Cód. Provincia	Provincia	Cód. CCAA	CCAA	AD	Cod Concierto	Concierto	Forma parte Complejo	CODIDCOM	Nombre del Complejo	Es Comlejo	ALTA	TAC	RMN	GAM	HEM	ASD	LIT	BCO	ALI	SPECT	PET	MAMO	DO	DIAL
0111000286	110259	Hospital Punta de Europa	11	Cádiz	01	Andalucía	S	01	Sin concierto	N			N	N	3	1	0	1	0	0	0	3	1	0	2	1	20
0114000535	140121	Hospital Valle de Los Pedroches	14	Córdoba	01	Andalucía	DC	DC	DC	S	140285	Hospital Valle de Los Pedroches	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0123000213	230079	Hospital San Agustín	23	Jaén	01	Andalucía	S	01	Sin concierto	N			N	N	1	0	0	0	0	0	0	0	0	0	1	0	0
0129001077	290206	Hospital de La Axarquia	29	Malaga	01	Andalucía	N	01	Sin concierto	N			N	N	2	2	0	0	0	1	0	0	0	0	2	0	0
0141001671	410375	Hospital Vithas Sevilla	41	Sevilla	01	Andalucía	N	02	Concierto parcial	N			N	N	1	2	0	1	1	1	0	0	0	0	1	1	1
0141000555	410353	Hospital San Juan de Dios del Aljarafe	41	Sevilla	01	Andalucía	S	01	Sin concierto	N			N	N	2	1	0	0	0	0	0	0	0	0	2	0	0
0118000553	180074	Hospital de La Inmaculada Concepción	18	Granada	01	Andalucía	S	01	Sin concierto	N			N	N	1	1	1	1	0	1	0	1	0	0	1	1	0
	410507	Hospital La Merced	41	Sevilla	01	Andalucía	S	01	Sin concierto	N			S		2	1	0	0	0	0	0	0	0	0	3	0	0
	230228	Hospital San Juan de La Cruz	23	Jaén	01	Andalucía	S	01	Sin concierto	N			S		2	0	0	0	1	1	0	0	0	0	4	0	0
0104002838	040138	Hospital Materno Infantil	04	Almería	01	Andalucía	DC	DC	DC	S	040097	Hospital Universitario Torrecárdenas	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0114003688	140252	Hospital Centro de Andalucía	14	Córdoba	01	Andalucía	N	02	Concierto parcial	N			N	N	1	1	0	0	0	0	0	0	0	0	1	1	0
0123003109	230206	Centro Hospitalario de Alta Resolución de Cazorla	23	Jaén	01	Andalucía	DC	DC	DC	S	230228	Hospital San Juan de La Cruz	N	N	0	0	0	0	0	0	0	0	0	0	0	0	0
0129007460	290528	Hospital de Alta Resolución de Estepona	29	Malaga	01	Andalucía	DC	DC	DC	S	290539	Hospital Costa del Sol	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0141006864	410205	Hospital de Emergencia Covid 19	41	Sevilla	01	Andalucía	DC	DC	DC	S	410286	Hospital Universitario Virgen del Rocío	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0114003703	140263	Hospital Palma del Rio	14	Córdoba	01	Andalucía	DC	DC	DC	S	140023	Hospital Universitario Reina Sofía	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
	180188	Hospital Universitario Virgen de Las Nieves	18	Granada	01	Andalucía	S	01	Sin concierto	N			S		8	4	0	2	7	4	1	4	2	1	4	2	65
	110338	Hospital Universitario de Puerto Real	11	Cádiz	01	Andalucía	S	01	Sin concierto	N			S		4	2	0	2	3	1	0	0	0	0	2	1	42
	140285	Hospital Valle de Los Pedroches	14	Córdoba	01	Andalucía	N	01	Sin concierto	N			S		1	1	0	0	0	0	0	0	0	0	2	2	12
	140274	Hospital Infanta Margarita	14	Córdoba	01	Andalucía	S	01	Sin concierto	N			S		2	1	0	0	0	2	0	0	0	0	4	0	2
	180177	Hospital Universitario Clínico San Cecilio	18	Granada	01	Andalucía	S	01	Sin concierto	N			S		5	4	0	3	7	2	0	3	3	1	2	2	34
	290539	Hospital Costa del Sol	29	Malaga	01	Andalucía	S	01	Sin concierto	N			S		4	2	0	1	0	2	0	2	1	1	3	0	25
0118004857	180191	Hospital Doctor Oloriz	18	Granada	01	Andalucía	DC	DC	DC	S	180188	Hospital Universitario Virgen de Las Nieves	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0123003127	230217	Hospital Metropolitano de Jaén	23	Jaén	01	Andalucía	N	02	Concierto parcial	N			N	N	1	1	0	0	0	0	0	0	0	0	1	0	0
	230119	Hospital Universitario de Jaén	23	Jaén	01	Andalucía	S	01	Sin concierto	N			S	N	5	3	0	2	4	1	0	4	2	1	3	1	36
0111000291	110184	Hospital Universitario de Puerto Real	11	Cádiz	01	Andalucía	DC	DC	DC	S	110338	Hospital Universitario de Puerto Real	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0111000295	110239	Hospital Jerez Puerta del Sur	11	Cádiz	01	Andalucía	N	01	Sin concierto	N			N	N	0	0	0	0	0	0	0	0	0	0	0	0	0
0114000529	140116	Hospital Infanta Margarita	14	Córdoba	01	Andalucía	DC	DC	DC	S	140274	Hospital Infanta Margarita	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0114000533	140044	Hospital Materno - Infantil del H.U. Reina Sofia	14	Córdoba	01	Andalucía	DC	DC	DC	S	140023	Hospital Universitario Reina Sofía	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0114001301	140218	Hospital de Alta Resolución de Puente Genil	14	Córdoba	01	Andalucía	DC	DC	DC	S	140274	Hospital Infanta Margarita	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0118000562	180107	Hospital Santa Ana	18	Granada	01	Andalucía	S	01	Sin concierto	N			N	N	1	1	0	1	0	0	0	0	0	0	0	0	0
0118004562	180150	Hospital Universitario Clínico San Cecilio	18	Granada	01	Andalucía	DC	DC	DC	S	180177	Hospital Universitario Clínico San Cecilio	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0121000147	210123	Hospital Universitario Juan Ramon Jimenez	21	Huelva	01	Andalucía	DC	DC	DC	S	210101	Hospital Universitario Juan Ramón Jiménez	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0121000151	210084	Clínica Los Naranjos	21	Huelva	01	Andalucía	N	02	Concierto parcial	N			N	N	1	0	0	0	0	0	0	0	0	0	1	1	0
0123000211	230026	Hospital Doctor Sagaz	23	Jaén	01	Andalucía	DC	DC	DC	S	230119	Hospital Universitario de Jaén	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0123000214	230098	Hospital San Juan de La Cruz	23	Jaén	01	Andalucía	DC	DC	DC	S	230228	Hospital San Juan de La Cruz	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
0123000703	230162	Hospital de Alta Resolución Sierra de Segura	23	Jaén	01	Andalucía	DC	DC	DC	S	230228	Hospital San Juan de La Cruz	N	N	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC	DC
