CODMU	MUNICIPIO	CODPROV
440012	Ababuj	44
400019	Abades	40
100015	Abadía	10
270018	Abadín	27
480010	Abadiño	48
310018	Abáigar	31
090011	Abajas	09
260012	Ábalos	26
200013	Abaltzisketa	20
190019	Abánades	19
300011	Abanilla	30
500016	Abanto	50
480025	Abanto y Ciérvana-Abanto Zierbena	48
300026	Abarán	30
340014	Abarca de Campos	34
310023	Abárzuza/Abartzuza	31
310039	Abaurregaina/Abaurrea Alta	31
310044	Abaurrepea/Abaurrea Baja	31
150011	Abegondo	15
420011	Abejar	42
440027	Abejuela	44
250019	Abella de la Conca	25
020019	Abengibre	02
130013	Abenójar	13
310057	Aberin	31
100020	Abertura	10
490028	Abezames	49
160014	Abia de la Obispalía	16
340035	Abia de las Torres	34
220015	Abiego	22
220020	Abizanda	22
040010	Abla	04
190024	Ablanque	19
310060	Ablitas	31
080018	Abrera	08
040025	Abrucena	04
370016	Abusejo	37
280014	Acebeda, La	28
240016	Acebedo	24
100036	Acebo	10
160029	Acebrón, El	16
060016	Acedera	06
100041	Acehúche	10
100054	Aceituna	10
500021	Acered	50
060021	Aceuchal	06
220036	Adahuesca	22
470014	Adalia	47
140018	Adamuz	14
050013	Adanero	05
380012	Adeje	38
460018	Ademuz	46
310076	Adiós	31
190030	Adobes	19
460023	Ador	46
040031	Adra	04
090032	Adrada de Haza	09
400024	Adrada de Pirón	40
050028	Adrada, La	05
420032	Adradas	42
400030	Adrados	40
200028	Aduna	20
350017	Agaete	35
370021	Agallas	37
250024	Àger	25
360209	Agolada	36
500037	Agón	50
260027	Agoncillo	26
030020	Agost	03
250030	Agramunt	25
420047	Ágreda	42
030036	Agres	03
180016	Agrón	18
410016	Aguadulce	41
500042	Aguarón	50
090063	Aguas Cándidas	09
470029	Aguasal	47
440033	Aguatón	44
440048	Aguaviva	44
130028	Agudo	13
220041	Agüero	22
400045	Aguilafuente	40
090079	Aguilar de Bureba	09
340040	Aguilar de Campoo	34
470035	Aguilar de Campos	47
310082	Aguilar de Codés	31
140023	Aguilar de la Frontera	14
080023	Aguilar de Segarra	08
440051	Aguilar del Alfambra	44
260033	Aguilar del Río Alhama	26
300032	Águilas	30
500055	Aguilón	50
350022	Agüimes	35
170010	Agullana	17
460044	Agullent	46
380027	Agulo	38
010513	Agurain/Salvatierra	01
100067	Ahigal	10
370037	Ahigal de los Aceiteros	37
370042	Ahigal de Villarino	37
060037	Ahillones	06
200163	Aia	20
310095	Aibar/Oibar	31
460425	Aielo de Malferit	46
460431	Aielo de Rugat	46
080142	Aiguafreda	08
430017	Aiguamúrcia	43
170025	Aiguaviva	17
030041	Aigües	03
120022	Aín	12
229074	Aínsa-Sobrarbe	22
500068	Ainzón	50
220067	Aisa	22
250387	Aitona	25
200034	Aizarnazabal	20
280029	Ajalvir	28
